CreditCardsName,Company,CompanyRating,CardRating,CreditScoreRange,RecomendationPercentage,AnnualFee,AdditionalFees,Benefits,AverageAPR,CreditCardLimit,Link
Capital One Venture Rewards,Capital One,4.6,4.5,700-850,90%,$95 ,Foreign Transaction Fee: None,"Earn unlimited 1.5% cash back on every purchase, every day- Earn 2x miles on every purchase, every day - Up to $100 Global Entry/TSA PreCheck® fee credit - No foreign transaction fees - Flexible redemption options for travel	","Variable, based on creditworthiness","Variable, based on creditworthiness",https://www.capitalone.com/credit-cards/venture/
Capital One Quicksilver,Capital One,4.4,4.3,670-850,88%,$0 ,Balance Transfer Fee: 3%,- Unlimited 1.5% cash back on every purchase - No annual fee - 0% APR on purchases and balance transfers for an introductory period,15.99% - 23.99% Variable,"Variable, based on creditworthiness",https://www.capitalone.com/credit-cards/quicksilver/
Capital One Platinum,Capital One,4.1,4,580-850,85%,$0 ,"Late Payment Fee: Up to $39	",- Access to a higher credit line after making payments on time - No annual fee - CreditWise® access for monitoring your credit,26.99% Variable,"Variable, based on creditworthiness",https://www.capitalone.com/credit-cards/platinum/
AMEX Platinum Card,American Express,4.7,4.5,700-850,95%,$695 ,Foreign Transaction Fee: None,"- Earn Membership Rewards® points for travel, dining, and more - Access to airport lounges worldwide - Up to $200 airline fee credit - Up to $100 Global Entry/TSA PreCheck® fee credit",15.99% - 22.99% Variable,"Variable, based on creditworthiness",https://www.americanexpress.com/us/credit-cards/card/platinum/
"AMEX Gold Card	",American Express,4.6,4.4,670-850,92%,$250 ,Balance Transfer Fee: 3%,- Earn Membership Rewards® points for dining and U.S. supermarkets - Up to $120 dining credit - No foreign transaction fees - 0% APR on purchases for an introductory period,15.99% - 22.99% Variable,"Variable, based on creditworthiness",https://www.americanexpress.com/us/credit-cards/card/gold-card/
AMEX Blue Cash Preferred Card,American Express,4.4,4.3,680-850,89%,$0 ,Cash Advance Fee: $10 or 5%,- Earn cash back at U.S. supermarkets and select streaming services - Up to $200 cash back bonus - 0% APR on purchases for an introductory period,13.99% - 23.99% Variable,"Variable, based on creditworthiness",https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/
Apple Card,Apple,4.7,4.6,Not specified,Not specified,$0 ,Foreign Transaction Fee: None,#NAME?,10.99% - 21.99% Variable,"Variable, based on creditworthiness",https://www.apple.com/apple-card/
Chase Sapphire Preferred® Card,Chase,4.6,4.5,700-850,92%,$95 ,Foreign Transaction Fee: None,"- Earn 60,000 bonus points after spending $4,000 on purchases in the first 3 months - 2x points on dining and travel - Transfer points to travel partners - No foreign transaction fees",15.99% - 22.99% Variable,"Variable, based on creditworthiness",https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred
Chase Freedom Flex℠,Chase,4.5,4.4,670-850,90%,$0 ,Balance Transfer Fee: 3%,- 5% cash back on rotating categories - 1% cash back on all other purchases - 0% APR on purchases and balance transfers for an introductory period,14.99% - 23.74% Variable,"Variable, based on creditworthiness",https://creditcards.chase.com/cash-back-credit-cards/freedom/flex
Chase Freedom Unlimited®,Chase,4.5,4.4,670-850,90%,$0 ,Balance Transfer Fee: 3%,- Unlimited 1.5% cash back on all purchases - 0% APR on purchases and balance transfers for an introductory period,14.99% - 23.74% Variable,"Variable, based on creditworthiness",https://creditcards.chase.com/cash-back-credit-cards/freedom/unlimited
